latitude,longitude,food,sports,healthcare,interconnectivity,education
1.2949687,103.8544852,0.624872232,0.409090909,0.5,0.5,0.125
1.3177824,103.932945,0.113798978,0.303030303,0.5,0.5,0.583333333
1.3280646,103.9225418,0.147870528,0.242424242,0.5,0.5,0.625
1.3884846,103.9878738,0.036456559,0.106060606,0.5,0.5,0
1.2921357,103.8285547,0.161839864,0.166666667,0.5,0.5,0.291666667
1.3025543,103.7833667,0.118228279,0.212121212,0.5,0.5,0.416666667
1.3208323,103.9024815,0.207155026,0.212121212,0.5,0.5,0.416666667
1.2774492,103.8400579,0.639522998,0.242424242,0.5,0.5,0.166666667
1.3129253,103.7868073,0.131175468,0.272727273,0.5,0.5,0.666666667
1.3112025,103.8976789,0.250425894,0.212121212,0.5,0.5,0.416666667
1.309137,103.7968581,0.167632027,0.303030303,0.5,0.5,0.541666667
1.3641651,103.8929442,0.119250426,0.363636364,0.5,0.5,0.666666667
1.2865434,103.8083586,0.229982964,0.106060606,0.5,0.5,0.25
1.2883777,103.8399942,0.530153322,0.393939394,0.5,0.5,0.208333333
1.3036012,103.883815,0.082112436,0.181818182,0.5,0.5,0.25
1.350781,103.8752945,0.117206133,0.712121212,0.5,0.5,0.75
1.339338,103.853378,0.260647359,0.227272727,0.5,0.5,0.875
1.3048678,103.9186134,0.04088586,0.212121212,0.5,0.5,0.375
1.4406998,103.7765983,0.091993186,0.060606061,0.5,0.5,0.375
1.3076734,103.8590139,0.647018739,0.242424242,0.5,0.5,0.333333333
1.3079191,103.8832694,0.186712095,0.196969697,0.5,0.5,0.291666667
1.317859,103.8073624,0.024531516,0.212121212,0.5,0.5,0.458333333
1.2843266,103.8178083,0.164906303,0.106060606,0.5,0.5,0.291666667
1.3234236,103.8616403,0.175809199,0.121212121,0.5,0.5,0.5
1.3825654,103.7517712,0.10153322,0.090909091,0.5,0.5,0.583333333
1.2795459,103.8179657,0.164565588,0.121212121,0.5,0.5,0.291666667
1.2748632,103.8426344,0.553321976,0.196969697,0.5,0.5,0.166666667
1.3253453,103.84232,0.161839864,0.121212121,0.5,0.5,0.583333333
1.3395672,103.7747655,0.102896082,0.303030303,0.5,0.5,0.208333333
1.277898,103.840963,0.699488927,0.257575758,0.5,0.5,0.166666667
1.3213431,103.9027526,0.184327087,0.212121212,0.5,0.5,0.416666667
1.27799,103.84122,0.72879046,0.257575758,0.5,0.5,0.166666667
1.2774176,103.8414964,0.699488927,0.257575758,0.5,0.5,0.166666667
1.276945,103.841487,0.652470187,0.257575758,0.5,0.5,0.166666667
1.276639,103.8411519,0.608858603,0.257575758,0.5,0.5,0.166666667
1.2761355,103.841191,0.598637138,0.242424242,0.5,0.5,0.166666667
1.2755784,103.8412807,0.551618399,0.227272727,0.5,0.5,0.166666667
1.3270163,103.9244409,0.215332198,0.257575758,0.5,0.5,0.708333333
1.306359,103.8844237,0.129471891,0.196969697,0.5,0.5,0.25
1.3223009,103.9025671,0.181942078,0.196969697,0.5,0.5,0.458333333
1.3139654,103.8521735,0.317887564,0.287878788,0.5,0.5,0.375
1.3147479,103.8958407,0.256899489,0.196969697,0.5,0.5,0.416666667
1.3082166,103.7942256,0.176149915,0.272727273,0.5,0.5,0.625
1.288325,103.8084056,0.213969336,0.106060606,0.5,0.5,0.25
1.2875052,103.8328117,0.229982964,0.257575758,0.5,0.5,0.291666667
1.3020705,103.882909,0.080749574,0.151515152,0.5,0.5,0.25
1.2869588,103.8390615,0.579897785,0.378787879,0.5,0.5,0.291666667
1.3346786,103.880205,0.114139693,0.303030303,0.5,0.5,0.583333333
1.3371227,103.8571807,0.171720613,0.212121212,0.5,0.5,0.833333333
1.440805,103.777276,0.091993186,0.060606061,0.5,0.5,0.375
1.3056158,103.8635202,0.390459966,0.196969697,0.5,0.5,0.291666667
1.3091671,103.882277,0.210562181,0.181818182,0.5,0.5,0.375
1.3037148,103.8505656,0.602725724,0.378787879,0.5,0.5,0.208333333
1.3237886,103.8633858,0.178534923,0.166666667,0.5,0.5,0.541666667
1.380253,103.7554147,0.106303237,0.136363636,0.5,0.5,0.583333333
1.2778529,103.8197695,0.131856899,0.106060606,0.5,0.5,0.25
1.3376784,103.7733174,0.111073254,0.303030303,0.5,0.5,0.25
1.3150044,103.8605316,0.312436116,0.166666667,0.5,0.5,0.416666667
1.2863928,103.8299909,0.238500852,0.212121212,0.5,0.5,0.291666667
1.3152994,103.8603536,0.307666099,0.166666667,0.5,0.5,0.375
1.3224673,103.9361971,0.233390119,0.409090909,0.5,0.5,0.625
1.286319,103.8291434,0.235093697,0.181818182,0.5,0.5,0.291666667
1.3372225,103.8583157,0.154344123,0.196969697,0.5,0.5,0.833333333
1.3161341,103.8605126,0.309028961,0.166666667,0.5,0.5,0.416666667
1.32209,103.936247,0.233049404,0.409090909,0.5,0.5,0.625
1.3217402,103.9363754,0.222146508,0.409090909,0.5,0.5,0.625
1.32166,103.9371924,0.22044293,0.393939394,0.5,0.5,0.625
1.3221701,103.9370129,0.222487223,0.409090909,0.5,0.5,0.625
1.3209693,103.8840476,0.267120954,0.166666667,0.5,0.5,0.541666667
1.334268,103.9387805,0.132197615,0.318181818,0.5,0.5,0.708333333
1.30725503,103.800972,0.125042589,0.212121212,0.5,0.5,0.5
1.339583,103.8484821,0.224190801,0.196969697,0.5,0.5,0.833333333
1.3208134,103.8541891,0.183986371,0.181818182,0.5,0.5,0.541666667
1.327505,103.844521,0.175127768,0.121212121,0.5,0.5,0.583333333
1.3209727,103.8834996,0.253833049,0.166666667,0.5,0.5,0.541666667
1.3702489,103.8394238,0.140715503,0.636363636,0.5,0.5,0.5
1.3284164,103.909845,0.099488927,0.166666667,0.5,0.5,0.416666667
1.3344559,103.9379194,0.16286201,0.272727273,0.5,0.5,0.666666667
1.3449091,103.8485047,0.198977853,0.303030303,0.5,0.5,0.75
1.2715396,103.825747,0.130834753,0.075757576,0.5,0.5,0.25
1.3466187,103.7468859,0.116183986,0.075757576,0.5,0.5,0.541666667
1.3024191,103.7983862,0.130494037,0.106060606,0.5,0.5,0.458333333
1.322102,103.7688807,0.067120954,0.363636364,0.5,0.5,0.5
1.3793935,103.7675227,0.1120954,0.166666667,0.5,0.5,0.416666667
1.2907844,103.8216714,0.164565588,0.090909091,0.5,0.5,0.291666667
1.3552948,103.8914264,0.13560477,0.484848485,0.5,0.5,0.625
1.3288769,103.850839,0.219420784,0.090909091,0.5,0.5,0.666666667
1.3370698,103.7388277,0.212947189,0.015151515,0.5,0.5,0.583333333
1.3251726,103.9109099,0.085519591,0.212121212,0.5,0.5,0.5
1.3670571,103.9581347,0.05758092,0.151515152,0.5,0.5,0.416666667
1.3329594,103.8685022,0.058943782,0.196969697,0.5,0.5,0.708333333
1.382678,103.899465,0.062350937,0.090909091,0.5,0.5,0.625
1.3710196,103.8702244,0.109369676,0.727272727,0.5,0.5,0.666666667
1.3411804,103.9518794,0.099148211,0.272727273,0.5,0.5,0.75
1.2752791,103.8358913,0.211584327,0.181818182,0.5,0.5,0.208333333
1.3474398,103.9452618,0.210902896,0.166666667,0.5,0.5,0.708333333
1.3779314,103.7543963,0.078705281,0.151515152,0.5,0.5,0.625
1.3193077,103.8609838,0.20306644,0.166666667,0.5,0.5,0.416666667
1.3205209,103.8538225,0.148551959,0.181818182,0.5,0.5,0.541666667
1.4359346,103.781918,0.167972743,0.060606061,0.5,0.5,0.375
1.4312508,103.8275584,0.108006814,0.090909091,0.5,0.5,0.416666667
1.451342,103.8304504,0.01362862,0.090909091,0.5,0.5,0.25
1.3398094,103.8473045,0.219761499,0.196969697,0.5,0.5,0.791666667
1.3979874,103.905967,0.091311755,0.060606061,0.5,0.5,0.375
1.4514023,103.8303612,0.01362862,0.090909091,0.5,0.5,0.25
1.3393865,103.8476442,0.214650767,0.212121212,0.5,0.5,0.791666667
1.3977293,103.9064437,0.088586031,0.060606061,0.5,0.5,0.375
1.3981809,103.906593,0.088586031,0.060606061,0.5,0.5,0.375
1.3985575,103.9061667,0.120954003,0.060606061,0.5,0.5,0.375
1.3205361,103.8825867,0.258262351,0.166666667,0.5,0.5,0.541666667
1.3706163,103.8392427,0.137649063,0.696969697,0.5,0.5,0.5
1.3338732,103.9374662,0.155025554,0.287878788,0.5,0.5,0.666666667
1.3285295,103.9092559,0.095400341,0.166666667,0.5,0.5,0.375
1.3451503,103.8479386,0.196592845,0.318181818,0.5,0.5,0.791666667
1.2720458,103.8267436,0.062350937,0.090909091,0.5,0.5,0.25
1.3477138,103.7475197,0.119931857,0.106060606,0.5,0.5,0.5
1.3024191,103.7983862,0.130494037,0.106060606,0.5,0.5,0.458333333
1.3222318,103.7692434,0.06439523,0.363636364,0.5,0.5,0.5
1.3792448,103.7678849,0.111754685,0.166666667,0.5,0.5,0.416666667
1.2904366,103.8217393,0.174105622,0.090909091,0.5,0.5,0.291666667
1.3548591,103.8907921,0.13560477,0.484848485,0.5,0.5,0.666666667
1.3282172,103.851563,0.199318569,0.121212121,0.5,0.5,0.625
1.327896,103.8442252,0.173764906,0.136363636,0.5,0.5,0.625
1.3361946,103.7381939,0.206132879,0.015151515,0.5,0.5,0.541666667
1.3256132,103.910638,0.085178876,0.196969697,0.5,0.5,0.5
1.367442,103.9580667,0.069846678,0.151515152,0.5,0.5,0.416666667
1.3336834,103.8687748,0.053833049,0.227272727,0.5,0.5,0.708333333
1.381822,103.9009109,0.053492334,0.090909091,0.5,0.5,0.625
1.3708646,103.8710439,0.102555366,0.696969697,0.5,0.5,0.666666667
1.3412746,103.9514035,0.107666099,0.272727273,0.5,0.5,0.75
1.2747654,103.8362536,0.214650767,0.151515152,0.5,0.5,0.166666667
1.3467774,103.9458964,0.196252129,0.212121212,0.5,0.5,0.708333333
1.3769801,103.7541248,0.076660988,0.166666667,0.5,0.5,0.625
1.3206918,103.8620709,0.199659284,0.151515152,0.5,0.5,0.5
1.4363072,103.7810126,0.161839864,0.060606061,0.5,0.5,0.375
1.2811084,103.8129745,0.189097104,0.106060606,0.5,0.5,0.291666667
1.398928,103.905917,0.120613288,0.060606061,0.5,0.5,0.375
1.4517998,103.8322578,0.005110733,0.090909091,0.5,0.5,0.25
1.399207,103.905341,0.114480409,0.060606061,0.5,0.5,0.375
1.3988179,103.905014,0.098807496,0.060606061,0.5,0.5,0.375
1.3983645,103.9053397,0.109710392,0.060606061,0.5,0.5,0.375
1.3279965,103.8447321,0.177512777,0.121212121,0.5,0.5,0.625
1.3205358,103.8831333,0.257921635,0.181818182,0.5,0.5,0.541666667
1.3709821,103.8393332,0.141737649,0.727272727,0.5,0.5,0.5
1.3334342,103.9374662,0.166269165,0.287878788,0.5,0.5,0.708333333
1.3287662,103.9094598,0.104599659,0.166666667,0.5,0.5,0.375
1.3455143,103.8483009,0.195229983,0.303030303,0.5,0.5,0.791666667
1.2721228,103.8260191,0.073935264,0.090909091,0.5,0.5,0.25
1.3482234,103.748063,0.11890971,0.121212121,0.5,0.5,0.541666667
1.3024191,103.7983862,0.130494037,0.106060606,0.5,0.5,0.458333333
1.3226876,103.7688807,0.037478705,0.363636364,0.5,0.5,0.5
1.3787279,103.7685186,0.109028961,0.166666667,0.5,0.5,0.416666667
1.2898163,103.8215129,0.176831346,0.090909091,0.5,0.5,0.291666667
1.3553733,103.8905203,0.134923339,0.484848485,0.5,0.5,0.666666667
1.3274024,103.8528283,0.184327087,0.136363636,0.5,0.5,0.625
1.3367082,103.738013,0.205451448,0.015151515,0.5,0.5,0.541666667
1.3259058,103.910638,0.08483816,0.196969697,0.5,0.5,0.5
1.3401157,103.8481424,0.222146508,0.196969697,0.5,0.5,0.875
1.3677335,103.9582933,0.067120954,0.151515152,0.5,0.5,0.375
1.3341247,103.869496,0.053151618,0.257575758,0.5,0.5,0.666666667
1.3830001,103.90076,0.059284497,0.075757576,0.5,0.5,0.625
1.3706539,103.8701338,0.123679727,0.727272727,0.5,0.5,0.625
1.2747341,103.8353025,0.177172061,0.151515152,0.5,0.5,0.208333333
1.3477984,103.9462866,0.248040886,0.181818182,0.5,0.5,0.708333333
1.377103,103.753659,0.051788756,0.151515152,0.5,0.5,0.625
1.3206725,103.8615925,0.202385009,0.151515152,0.5,0.5,0.5
1.4366008,103.7810126,0.161499148,0.060606061,0.5,0.5,0.375
1.4319016,103.8289483,0.155706985,0.090909091,0.5,0.5,0.416666667
1.2809284,103.8130871,0.18637138,0.106060606,0.5,0.5,0.291666667
1.3982917,103.904838,0.101873935,0.060606061,0.5,0.5,0.375
1.2808119,103.8130737,0.183645656,0.106060606,0.5,0.5,0.291666667
1.3978525,103.9047474,0.067802385,0.060606061,0.5,0.5,0.416666667
1.3974138,103.9045661,0.071550256,0.060606061,0.5,0.5,0.416666667
1.3200997,103.88277,0.263032368,0.181818182,0.5,0.5,0.541666667
1.3292763,103.9098223,0.104258944,0.151515152,0.5,0.5,0.375
1.3332562,103.936605,0.154344123,0.318181818,0.5,0.5,0.708333333
1.345674,103.848026,0.191141397,0.333333333,0.5,0.5,0.791666667
1.2724898,103.8257478,0.102896082,0.090909091,0.5,0.5,0.25
1.348997,103.7472936,0.111073254,0.106060606,0.5,0.5,0.541666667
1.307684183,103.8000259,0.135945486,0.242424242,0.5,0.5,0.583333333
1.3229784,103.7692429,0.043611584,0.378787879,0.5,0.5,0.5
